資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-006-01	世俗諺文_天理大学図書館	2739	1674	平	平	喜平	喜平			2		平	去平							13702	
30-006-01	世俗諺文_天理大学図書館	2740	1675	年	年	年	年			1		平	平							13702	
30-006-01	世俗諺文_天理大学図書館	2741	1676	蔡	蔡	蔡_	蔡_			1		去	去＊	サイ	サイヰヨウ					13702	
30-006-01	世俗諺文_天理大学図書館	2742	1676	_	_	蔡_	蔡_			2			去＊	ヰヨウ	サイヰヨウ					13702	
30-006-01	世俗諺文_天理大学図書館	2743	1677	聖	聖	聖皇	聖皇			1		去	去平軽							13702	
30-006-01	世俗諺文_天理大学図書館	2744	1677	皇	皇	聖皇	聖皇			2		平軽	去平軽							13703	
30-006-01	世俗諺文_天理大学図書館	2745	1678	成	成	成	成ス			1		上	上							13703	ナスの仮名
30-006-01	世俗諺文_天理大学図書館	2746	1679	鴻	鴻	鴻都門	鴻都門			1		平	平平＊	コウ	コウト＊					13703	
30-006-01	世俗諺文_天理大学図書館	2747	1679	都	都	鴻都門	鴻都門			2		平	平平＊	ト	コウト＊					13703	
30-006-01	世俗諺文_天理大学図書館	2748	1680	修	修	修飾	修飾			1		平	平入軽		＊シヨク					13703	
30-006-01	世俗諺文_天理大学図書館	2749	1680	飾	飾	修飾	修飾			2		入軽	平入軽	シヨク	＊シヨク					13703	
30-006-01	世俗諺文_天理大学図書館	2750	1681	鴻	鴻	鴻都門	鴻都門			1		平	平平平		コウト＊					13703	
30-006-01	世俗諺文_天理大学図書館	2751	1681	都	都	鴻都門	鴻都門			2		平	平平平							13703	
30-006-01	世俗諺文_天理大学図書館	2752	1681	門	門	鴻都門	鴻都門			3		平	平平平							13703	
30-006-01	世俗諺文_天理大学図書館	2753	1682	伯	伯	伯	伯			1		入	入							13703	
30-006-01	世俗諺文_天理大学図書館	2754	1683	皆	皆	皆	皆			1		去／入軽	去／入軽							13703	去点に合点
30-006-01	世俗諺文_天理大学図書館	2755	1684	詔	詔	詔	詔			1		去	去							13703	
30-006-01	世俗諺文_天理大学図書館	2756	1685	亞	亜	亞帝	亜帝			1		去	去去	ア	アセイ					13704	
30-006-01	世俗諺文_天理大学図書館	2757	1685	帝	帝	亞帝	亜帝			2		去	去去	セイ	アセイ					13704	
30-006-01	世俗諺文_天理大学図書館	2758	1686	漢	漢	漢	漢			1		去	去							13704	
30-006-01	世俗諺文_天理大学図書館	2759	1687	題	題	題署	題署			1		平	平上							13705	
30-006-01	世俗諺文_天理大学図書館	2760	1687	署	署	題署	題署			2		上	平上							13705	「暑」に作る
30-006-01	世俗諺文_天理大学図書館	2761	1688	官	官	官閣	官閣			1		平軽	平軽入軽							13705	
30-006-01	世俗諺文_天理大学図書館	2762	1688	閣	閣	官閣	官閣			2		入軽	平軽入軽							13705	
30-006-01	世俗諺文_天理大学図書館	2763	1689	體	体	體	体			1		上	上	テイ	テイ					13705	
30-006-01	世俗諺文_天理大学図書館	2764	1690	法	法	法	法			1		入軽	入軽							13705	
30-006-01	世俗諺文_天理大学図書館	2765	1691	小	小	小篆	小篆			1		上	上去		＊テン					13706	
30-006-01	世俗諺文_天理大学図書館	2766	1691	篆	篆	小篆	小篆			2		去	上去	テン	＊テン					13706	
30-006-01	世俗諺文_天理大学図書館	2767	1692	蔡	蔡	蔡公	蔡公			1		去	去平軽	サイ	サイ＊					13706	
30-006-01	世俗諺文_天理大学図書館	2768	1692	公	公	蔡公	蔡公			2		平軽	去平軽		サイ＊					13706	
30-006-01	世俗諺文_天理大学図書館	2769	1693	妙	妙	妙	妙			1		去濁	去濁							13706	
30-006-01	世俗諺文_天理大学図書館	2770	1694	張	張	張芝	張芝			1		平	平平							13706	
30-006-01	世俗諺文_天理大学図書館	2771	1694	芝	芝	張芝	張芝			2		平	平平							13706	
30-006-01	世俗諺文_天理大学図書館	2772	1695	草	草	草書	草書			1		上	上平軽							13706	
30-006-01	世俗諺文_天理大学図書館	2773	1695	書	書	草書	草書			2		平軽	上平軽							13706	
30-006-01	世俗諺文_天理大学図書館	2774	1696	易	易	易簡	易簡			1		入	入上	エキ	エキカン					13707	
30-006-01	世俗諺文_天理大学図書館	2775	1696	簡	簡	易簡	易簡			2		上	入上	カン	エキカン					13707	
30-006-01	世俗諺文_天理大学図書館	2776	1697	流	流	流速	流速			1		平	平入軽							13707	
