資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	Unnamed: 22
30-023-03	唯信鈔_專修寺	1792	793	導	導	善導和尚	善導和尚			2	2			タウ	センタウクワシヤウ					113.4		善導和尚
30-023-03	唯信鈔_專修寺	1793	793	和	和	善導和尚	善導和尚			3	1			クワ	センタウクワシヤウ					113.4		善導和尚
30-023-03	唯信鈔_專修寺	1794	793	尚	尚	善導和尚	善導和尚			4	2			シヤウ	センタウクワシヤウ					113.4		善導和尚
30-023-03	唯信鈔_專修寺	1795	794	稱	稱	稱念	稱念ス			1	2	去	去平	シヨウ	シヨウネム					113.5		稱念
30-023-03	唯信鈔_專修寺	1796	794	念	念	稱念	稱念ス			2	2	平	去平	ネム	シヨウネム					113.5		稱念
30-023-03	唯信鈔_專修寺	1797	795	不	不	不信	不信			1	1	上	上平	フ	フシン					114.1		不信
30-023-03	唯信鈔_專修寺	1798	795	信	信	不信	不信			2	2	平	上平	シン	フシン					114.1		不信
30-023-03	唯信鈔_專修寺	1799	796	經	經	經	經			1	2			キヤウ	キヤウ					114.3		經
30-023-03	唯信鈔_專修寺	1800	797	文	文	文	文			1	2	去	去	モン	モン					114.3		文
30-023-03	唯信鈔_專修寺	1801	798	信	信	信	信セス			1	2	平	平	シン	シン					114.4		信
30-023-03	唯信鈔_專修寺	1802	799	佛	佛	佛語	佛語			1	1	入濁	入濁平濁	フチ	フチコ					114.4		佛語
30-023-03	唯信鈔_專修寺	1803	799	語	語	佛語	佛語			2	1	平濁	入濁平濁	コ	フチコ					114.4		佛語
30-023-03	唯信鈔_專修寺	1804	800	信	信	信	信セ			1	2	平	平	シン	シン					114.4		信
30-023-03	唯信鈔_專修寺	1805	801	一	一	一念	一念			1	1			ヰチ	ヰチネム					114.5		一念
30-023-03	唯信鈔_專修寺	1806	801	念	念	一念	一念			2	2			ネム	ヰチネム					114.5		一念
30-023-03	唯信鈔_專修寺	1807	802	決	決	決定	決定シ			1	1			クヱチ	クヱチチヤウ					114.5		決定
30-023-03	唯信鈔_專修寺	1808	802	定	定	決定	決定シ			2	2			チヤウ	クヱチチヤウ					114.5		決定
30-023-03	唯信鈔_專修寺	1809	803	信	信	信	信シテ			1	2	平	平	シン	シン					115.1		信
30-023-03	唯信鈔_專修寺	1810	804	一	一	一生	一生			1	1	入	入去	ヰチ	ヰチシヤウ					115.1		一生
30-023-03	唯信鈔_專修寺	1811	804	生	生	一生	一生			2	2	去	入去	シヤウ	ヰチシヤウ					115.1		一生
30-023-03	唯信鈔_專修寺	1812	805	正	正	正義	正義			1	2	平	平平濁	シヤウ	シヤウキ					115.2		正義
30-023-03	唯信鈔_專修寺	1813	805	義	義	正義	正義			2	1	平濁	平平濁	キ	シヤウキ					115.2		正義
30-023-03	唯信鈔_專修寺	1814	806	要	要	要義	要義			1	2	平	平平濁	エウ	エウキ					115.3		要義
30-023-03	唯信鈔_專修寺	1815	806	義	義	要義	要義			2	1	平濁	平平濁	キ	エウキ					115.3		要義
30-023-03	唯信鈔_專修寺	1816	807	略	略	略	略シテ			1	2	入	入	リヤク	リヤク					115.4		略
30-023-03	唯信鈔_專修寺	1817	808	信	信	信謗	信謗			1	2	平	平平	シン	シンハウ					116.1		信謗
30-023-03	唯信鈔_專修寺	1818	808	謗	謗	信謗	信謗			2	2	平	平平	ハウ	シンハウ					116.1		信謗
30-023-03	唯信鈔_專修寺	1819	809	因	因	因	因			1	2	去	去	イン	イン					116.1		因
30-023-03	唯信鈔_專修寺	1820	810	淨	淨	淨土	淨土			1	2			シヤウ	シヤウト					116.2		淨土
30-023-03	唯信鈔_專修寺	1821	810	土	土	淨土	淨土			2	1			ト	シヤウト					116.2		淨土
30-023-03	唯信鈔_專修寺	1822	811	今	今	今生	今生			1	2	去	去上濁	コム	コムシヤウ					116.3		今生
30-023-03	唯信鈔_專修寺	1823	811	生	生	今生	今生			2	2	上濁	去上濁	シヤウ	コムシヤウ					116.3		今生
30-023-03	唯信鈔_專修寺	1824	812	來	来	來世	来世			1	2			ライ	ライセ					116.4		来世
30-023-03	唯信鈔_專修寺	1825	812	世	世	來世	来世			2	1			セ	ライセ					116.4		来世
30-023-03	唯信鈔_專修寺	1826	813	縁	縁	縁	縁			1	2	去	去	エン	エン					116.4		縁
30-023-03	唯信鈔_專修寺	1827	814	生	生	生生	生生			1	2	去	去上濁							117.2		生生
30-023-03	唯信鈔_專修寺	1828	814	生	生	生生	生生			2	2	上濁	去上濁							117.2		生生
30-023-03	唯信鈔_專修寺	1829	815	善	善	善友	善友			1	2	平濁	平濁上	セン	センウ					117.2		善友
30-023-03	唯信鈔_專修寺	1830	815	友	友	善友	善友			2	1	上	平濁上	ウ	センウ					117.2		善友
30-023-03	唯信鈔_專修寺	1831	816	佛	佛	佛道	佛道			1	1		＊平濁	フチ	フチタウ					117.3		佛道
30-023-03	唯信鈔_專修寺	1832	816	道	道	佛道	佛道			2	2	平濁	＊平濁	タウ	フチタウ					117.3		佛道
30-023-03	唯信鈔_專修寺	1833	817	修	修	修	修セシメ			1	1	上	上	シユ	シユ					117.3		修
30-023-03	唯信鈔_專修寺	1834	818	世	世	世世	世世			1	1	平	平平	セ	セセ					117.3		世世
