資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	Unnamed: 22
30-023-02	唯信抄_西本願寺	1164	519	罪	罪	生死之罪	生死之罪			4	2			サイ	シヤウシシサイ					89.2		生死之罪
30-023-02	唯信抄_西本願寺	1165	520	稱	稱	稱名	稱名			1	2			シヨウ	シヨウミヤウ					89.3		稱名
30-023-02	唯信抄_西本願寺	1166	520	名	名	稱名	稱名			2	2			ミヤウ	シヨウミヤウ					89.3		稱名
30-023-02	唯信抄_西本願寺	1167	521	返	返	十返	十返			2	2			ヘン	＊ヘン					89.4		十返
30-023-02	唯信抄_西本願寺	1168	522	本	本	本願	本願			1	2			ホン	ホンクワン					89.4		本願
30-023-02	唯信抄_西本願寺	1169	522	願	願	本願	本願			2	2			クワン	ホンクワン					89.4		本願
30-023-02	唯信抄_西本願寺	1170	523	文	文	文	文			1	2			モン	モン					89.4		文
30-023-02	唯信抄_西本願寺	1171	524	善	善	善導和尚	善導和尚			1	2			セン	センタウクワシヤウ					89.5		善導和尚
30-023-02	唯信抄_西本願寺	1172	524	導	導	善導和尚	善導和尚			2	2			タウ	センタウクワシヤウ					89.5		善導和尚
30-023-02	唯信抄_西本願寺	1173	524	和	和	善導和尚	善導和尚			3	1			クワ	センタウクワシヤウ					89.5		善導和尚
30-023-02	唯信抄_西本願寺	1174	524	尚	尚	善導和尚	善導和尚			4	2			シヤウ	センタウクワシヤウ					89.5		善導和尚
30-023-02	唯信抄_西本願寺	1175	525	文	文	文	文			1	2			モン	モン					90.2		文
30-023-02	唯信抄_西本願寺	1176	526	若	若	若我成佛	若我成佛			1	2			ニヤク	ニヤクカシヤウフチ					90.2		若我成佛
30-023-02	唯信抄_西本願寺	1177	526	我	我	若我成佛	若我成佛			2	1			カ	ニヤクカシヤウフチ					90.2		若我成佛
30-023-02	唯信抄_西本願寺	1178	526	成	成	若我成佛	若我成佛			3	2			シヤウ	ニヤクカシヤウフチ					90.2		若我成佛
30-023-02	唯信抄_西本願寺	1179	526	佛	佛	若我成佛	若我成佛			4	1			フチ	ニヤクカシヤウフチ					90.2		若我成佛
