資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	単字_alphabet
50-055-01	ドチリーナ・キリシタン_東洋文庫	3996	2348	相	相	相當	相當	sǒtǒ		1				サゥ	サゥタゥ					112l-07	バチカン本対応箇所なし	sǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	3997	2348	當	當	相當	相當	sǒtǒ		2				タゥ	サゥタゥ					112l-07	バチカン本対応箇所なし	tǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	3998	2349	相	相	相應	相應	sǒuô		1				サゥ	サゥヲゥ					112l-09	バチカン本対応箇所なし	sǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	3999	2349	應	應	相應	相應	sǒuô		2				ヲゥ	サゥヲゥ					112l-09	バチカン本対応箇所なし	uô
50-055-01	ドチリーナ・キリシタン_東洋文庫	4000	2350	草	草	草紙	草紙	sǒxi		1				サゥ	サゥシ					112l-11	バチカン本対応箇所なし	sǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	4001	2350	紙	紙	草紙	草紙	sǒxi		2				シ	サゥシ					112l-11	バチカン本対応箇所なし	xi
50-055-01	ドチリーナ・キリシタン_東洋文庫	4002	2351	本	本	本	本	fon		1				ホン	ホン					112l-11	バチカン本対応箇所なし	fon
50-055-01	ドチリーナ・キリシタン_東洋文庫	4003	2352	寸	寸	寸法	寸法	sunpǒ		1				スン	スンパゥ					112l-15	バチカン本対応箇所なし	sun
50-055-01	ドチリーナ・キリシタン_東洋文庫	4004	2352	法	法	寸法	寸法	sunpǒ		2				パゥ	スンパゥ					112l-15	バチカン本対応箇所なし	pǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	4005	2353	他	他	他國	他國	tacocu		1				タ	タコク					112l-18	バチカン本対応箇所なし	ta
50-055-01	ドチリーナ・キリシタン_東洋文庫	4006	2353	國	國	他國	他國	tacocu		2				コク	タコク					112l-18	バチカン本対応箇所なし	cocu
50-055-01	ドチリーナ・キリシタン_東洋文庫	4007	2354	餘	餘	餘	餘	yo		1				ヨ	ヨ					112l-18	バチカン本対応箇所なし	yo
50-055-01	ドチリーナ・キリシタン_東洋文庫	4008	2355	退	退	退屈	退屈	taicut		1				タイ	タイクっ					112l-20	バチカン本対応箇所なし	tai
50-055-01	ドチリーナ・キリシタン_東洋文庫	4009	2355	屈	屈	退屈	退屈	taicut		2				クっ	タイクっ					112l-20	バチカン本対応箇所なし	cut
50-055-01	ドチリーナ・キリシタン_東洋文庫	4010	2356	大	大	大才	大才	taisai		1				タイ	タイサイ					112l-22	バチカン本対応箇所なし	tai
50-055-01	ドチリーナ・キリシタン_東洋文庫	4011	2356	才	才	大才	大才	taisai		2				サイ	タイサイ					112l-22	バチカン本対応箇所なし	sai
50-055-01	ドチリーナ・キリシタン_東洋文庫	4012	2357	智	智	智慧	智慧	chiye		1				チ	チエ					112l-22	バチカン本対応箇所なし	chi
50-055-01	ドチリーナ・キリシタン_東洋文庫	4013	2357	慧	慧	智慧	智慧	chiye		2				エ	チエ					112l-22	バチカン本対応箇所なし	ye
50-055-01	ドチリーナ・キリシタン_東洋文庫	4014	2358	帶	帶	帶する	帶する	taisuru	混種語	1				タイ	タイスル					112l-24	バチカン本対応箇所なし	tai
